,Title,Distance,Award,Type,Time,URL,Race_History
0,Moe - Race 1,1208m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 20:00:00,/form-guide/moe_247855/sands-equipment-2yo-maiden-plate_1482780/,"     Horse_Name       Top_Tote
Rank                          
1       C Hefel  $1.90 / $1.20
2     B Higgins          $1.70
3      J Mcneil          $2.00
4       H Grace              -
5       W Price              -
6        T Bull              -
7       J Duffy              -
8     C Gaudray              -
9      D Turner              -"
1,Moe - Race 2,1208m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 20:30:00,/form-guide/moe_247855/erica-caravan-park-maiden-plate_1482782/,"        Horse_Name        Top_Tote
Rank                              
1         D Turner  $45.20 / $8.30
2        L Riordan           $1.40
3           P Gatt           $1.30
4     M Cartwright               -
5          H Grace               -
6          J Duffy               -
7        T Chapman               -
8        C Gaudray               -
9        B Higgins               -
10        R Mcleod               -
11        C Newitt               -"
2,Moe - Race 3,1614m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 21:00:00,/form-guide/moe_247855/cloud-chat-3yo-maiden-plate_1482781/,"        Horse_Name       Top_Tote
Rank                             
1     M Cartwright  $1.60 / $1.30
2         R Mcleod          $1.90
3         M Salter          $8.20
4        L Riordan              -
5       L Campbell              -
6           J Hill              -
7        B Higgins              -
8         J Mcneil              -
9          H Grace              -
10        J Childs              -
11       C Gaudray              -
12         J Duffy              -
13         C Hefel              -"
3,Moe - Race 4,1614m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 21:30:00,/form-guide/moe_247855/team-staffing-solutions-now-recruiting-maiden-plate_1482783/,"      Horse_Name       Top_Tote
Rank                           
1         T Hope  $5.50 / $1.80
2         W Pinn          $1.20
3      C Gaudray          $4.00
4         J Luxe              -
5       J Darose              -
6      B Higgins              -
7      T Chapman              -
8      L Riordan              -
9        D Keane              -
10    L Campbell              -"
4,Moe - Race 5,1614m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 22:00:00,/form-guide/moe_247855/solomons-moe-0-64-handicap_1482786/,"      Horse_Name       Top_Tote
Rank                           
1         W Pinn  $5.30 / $2.10
2        C Hefel          $1.50
3     A Herrmann          $2.10
4        B Allen              -
5        S Wynne              -
6      L Riordan              -
7       R Mcleod              -
8         J Hill              -"
5,Moe - Race 6,2423m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 22:30:00,/form-guide/moe_247855/kiss-professional-solutions-bm64-handicap_1482787/,"      Horse_Name       Top_Tote
Rank                           
1       R Mcleod  $4.80 / $1.90
2       D Turner          $3.50
3         W Pinn          $1.60
4        H Grace              -
5      L Overall              -
6     L Campbell              -
7        S Wynne              -
8        D Keane              -"
6,Moe - Race 7,1008m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 23:00:00,/form-guide/moe_247855/ladbrokes-hub-bm64-handicap_1482784/,"     Horse_Name       Top_Tote
Rank                          
1     R Tremsal  $7.90 / $3.10
2       B Allen          $6.20
3         J Fry              -
4     B Higgins              -
5     T Chapman              -
6     C Gaudray              -
7         R Tan              -"
7,Moe - Race 8,1208m,Total $37.5k: 1st $20.6k,              Heavy 9            ,2023-07-05 23:30:00,/form-guide/moe_247855/ladbrokes-moe-cup-20th-october-23-bm64-hcp_1482785/,"        Horse_Name       Top_Tote
Rank                             
1       L Campbell  $5.50 / $2.20
2           W Pinn          $5.40
3         J Mcneil          $1.90
4          H Grace              -
5          D Keane              -
6          B Allen              -
7          C Hefel              -
8     M Cartwright              -
9        B Higgins              -
10      C Rawiller              -
11        C Newitt              -
12         S Wynne              -
13       L Overall              -"
8,Gosford - Race 1,1000m,Total $40k: 1st $19.7k,              Soft 5            ,2023-07-05 19:50:00,/form-guide/gosford_247583/taperell-rutledge-solicitors-2yo-maiden-handicap_1481194/,"         Horse_Name       Top_Tote
Rank                              
1            R King  $6.80 / $2.20
2           R Jones          $1.50
3     J V Overmeire          $4.80
4            J Ford              -
5          T Sherry              -
6       H V D Hoven              -
7            J Parr              -
8        T Schiller              -
9           Z Lloyd              -
10           M Weir              -
11         K Latham              -"
9,Gosford - Race 2,1000m,Total $45k: 1st $21k,              Soft 5            ,2023-07-05 20:25:00,/form-guide/gosford_247583/gosford-it-midway-3yoandup-maiden-handicap_1481191/,"      Horse_Name       Top_Tote
Rank                           
1         J Ford  $6.30 / $2.00
2         R King          $1.60
3          L Day         $10.90
4       K Latham              -
5       J Duggan              -
6         M Weir              -
7     D Mclellan              -
8       B Lerena              -"
10,Gosford - Race 3,1200m,Total $40k: 1st $19.7k,              Soft 5            ,2023-07-05 21:05:00,/form-guide/gosford_247583/sneddon-bros-maiden-plate_1481192/,"         Horse_Name       Top_Tote
Rank                              
1      A Hyeronimus  $4.10 / $1.50
2            J Parr          $1.80
3           Z Lloyd          $1.50
4            M Bell              -
5             L Day              -
6     J V Overmeire              -
7           R Jones              -
8            R King              -"
11,Gosford - Race 4,1200m,Total $45k: 1st $21k,              Soft 5            ,2023-07-05 21:40:00,/form-guide/gosford_247583/tanti-financial-services-provincial-class-1-handicap_1481190/,"      Horse_Name       Top_Tote
Rank                           
1         J Ford  $4.80 / $1.70
2      D Gibbons          $1.60
3       T Sherry          $1.50
4         M Bell              -
5     D Mclellan              -
6     T Schiller              -
7        C Lever              -
8         M Weir              -
9       J Duggan              -"
12,Gosford - Race 5,1000m,Total $40k: 1st $19.7k,              Soft 5            ,2023-07-05 22:15:00,/form-guide/gosford_247583/industree-group-class-1-handicap_1481189/,"         Horse_Name       Top_Tote
Rank                              
1        T Schiller  $1.70 / $1.10
2          T Sherry          $2.00
3            J Ford          $1.90
4       R Hutchings              -
5           R Jones              -
6            J Parr              -
7     J V Overmeire              -
8            R King              -"
13,Gosford - Race 6,1200m,Total $40k: 1st $19.7k,              Soft 5            ,2023-07-05 22:50:00,/form-guide/gosford_247583/christmas-in-july-at-teg-conditional-benchmark-68-handicap_1481187/,"         Horse_Name       Top_Tote
Rank                              
1        T Schiller  $7.20 / $2.20
2            M Weir          $9.10
3          S Lisnyy          $2.10
4       R Hutchings              -
5          J Duggan              -
6            R King              -
7            J Parr              -
8          K Latham              -
9     J V Overmeire              -"
14,Gosford - Race 7,1600m,Total $40k: 1st $19.7k,              Soft 5            ,2023-07-05 23:25:00,/form-guide/gosford_247583/mcgrath-central-coast-benchmark-64-handicap_1481188/,"         Horse_Name       Top_Tote
Rank                              
1     J V Overmeire  $3.40 / $1.60
2             L Day          $1.80
3            J Parr          $2.50
4         D Gibbons              -
5            M Bell              -
6           D Panya              -
7          M Bourke              -
8        T Schiller              -
9          J Taylor              -
10         J Duggan              -
11       E Hennessy              -"
15,Pinjarra Park - Race 1,2000m,Total $22.5k: 1st $12.3k,              Soft 7            ,2023-07-05 21:27:00,/form-guide/pinjarra-park_247584/electrical-consultancy-wa-maiden_1481199/,"             Horse_Name       Top_Tote
Rank                                  
1                W Pike  $1.30 / $1.30
2           S O'donnell          $2.50
3               J Brown          $2.80
4             C Parnham              -
5     C Johnston-porter              -
6              L Ramoly              -
7                 M Poy              -
8              A Galati              -
9               J Noske              -
10             T Turner              -
11            C Staples              -
LR             B Gaerth              -"
16,Pinjarra Park - Race 2,1200m,Total $22.5k: 1st $12.3k,              Soft 7            ,2023-07-05 22:07:00,/form-guide/pinjarra-park_247584/tabtouch-scan-my-bet-maiden_1481196/,"             Horse_Name       Top_Tote
Rank                                  
1              T Turner  $7.80 / $2.10
2     C Johnston-porter          $2.50
3              L Ramoly          $3.90
4           S O'donnell              -
5              P Harvey              -
6     Z Johnston-porter              -
7                 M Poy              -
8             L Staples              -
9              B Gaerth              -
10             K Dhurun              -
11            C Parnham              -"
17,Pinjarra Park - Race 3,1200m,Total $22.5k: 1st $12.3k,              Soft 7            ,2023-07-05 22:42:00,/form-guide/pinjarra-park_247584/chaff-city-maiden_1481195/,"             Horse_Name        Top_Tote
Rank                                   
1              P Harvey  $10.40 / $2.80
2             P Knuckey          $12.40
3               J Noske           $3.90
4           J Azzopardi               -
5              T Turner               -
6     C Johnston-porter               -
7                W Pike               -
8              B Gaerth               -
9              L Ramoly               -
10          S O'donnell               -
11             A Galati               -
12            C Parnham               -"
18,Pinjarra Park - Race 4,1500m,Total $22.5k: 1st $12.3k,              Soft 7            ,2023-07-05 23:17:00,/form-guide/pinjarra-park_247584/bendigo-bank-maiden_1481198/,"             Horse_Name        Top_Tote
Rank                                   
1           S O'donnell  $29.00 / $6.80
2              L Ramoly           $2.40
3                W Pike           $1.40
4              A Galati               -
5           J Azzopardi               -
6               J Noske               -
7                 M Poy               -
8              T Turner               -
9     C Johnston-porter               -
10            C Parnham               -
11           J Mcnaught               -
12             B Gaerth               -"
19,Pinjarra Park - Race 5,1000m,Total $22.5k: 1st $12.3k,              Soft 7            ,2023-07-05 23:55:00,/form-guide/pinjarra-park_247584/combined-farrier-supplies-maiden_1481197/,"             Horse_Name       Top_Tote
Rank                                  
1              H Watson  $4.60 / $1.80
2               J Noske          $1.60
3              B Gaerth         $10.50
4             C Parnham              -
5           J Azzopardi              -
6              A Galati              -
7             C Staples              -
8              T Turner              -
9           S O'donnell              -
10             L Ramoly              -
11    Z Johnston-porter              -
12               W Pike              -
13            M L Fiore              -"
20,Pinjarra Park - Race 6,1000m,Total $27.5k: 1st $15.1k,              Soft 7            ,2023-07-06 00:30:00,/form-guide/pinjarra-park_247584/tabtouch-same-race-multi-handicap_1481202/,"       Horse_Name        Top_Tote
Rank                             
1          W Pike  $15.50 / $3.20
2        H Watson           $1.60
3        P Harvey           $1.50
4       M L Fiore               -
5        V Corver               -
6        J Turner               -
7      C Martinan               -
8     N Faithfull               -"
